Year,Jursidiction,Beach ID,Beach Name,County,WaterbodyName,WaterbodyType,IsBeach ActBeach?,Tier,IsHistorical?,BeachLength (MI),IsDormant?,BeachAccess,BeachOwner,# ofdays inSwimSeason (SS),# ofhours inSSDay,SSStartDate,SSEndDate,SSMonitoringFrequency,MonitoringReportingFrequency[to EPA],AdvisoryReportingFrequency[to EPA],# ofActions,EarliestActionDate,LatestActionDate,# ofactions ofLT 1 dayduration,# ofactions of1 to LT 2 daysduration,# ofactions of2 to LT 3 daysduration,# ofactions of3 to LT 8 daysduration,# ofactions of8 to 30 daysduration,# ofactions ofGT 30 daysduration
2023,AS,AS969183,LEONE PALA,WESTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,25,04-JAN-2023 12:00AM,26-DEC-2023 12:00AM,,,,25,,
2023,AS,AS254239,TAPUTIMU,WESTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,11-JAN-2023 12:00AM,27-JUN-2023 12:00AM,,,,2,,
2023,AS,AS669756,WESTERN UTUMEA,WESTERN DISTRICT,Pacific Ocean,Open Coast,Y,3,N,.152,N,Public,Public,365,24,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,11-JAN-2023 12:00AM,27-JUN-2023 12:00AM,,,,2,,
2023,BR,WI504827,Amnicon Bay,ASHLAND,Lake Superior,"Sound, Bay, or Inlet",Y,1,N,1.64,N,Public,Private,97,24,05-30-2023,09-04-2023,2 per-month,1 per-year,1 per-year,1,08-JUN-2023 12:00AM,13-JUN-2023 12:00AM,,,,1,,
2023,BR,WI432346,Second Landing,ASHLAND,Lake Superior,"Sound, Bay, or Inlet",Y,1,N,.038,N,Public,Private,97,24,05-28-2023,09-02-2023,1 per-week,1 per-year,1 per-year,1,06-JUL-2023 12:00AM,07-JUL-2023 12:00AM,,1,,,,
2023,CA,CA549911,Crown Beach (Alameda Co) - Crown Crab Cove,ALAMEDA,Pacific Ocean,Still Water,Y,1,N,1.77,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,14,20-JAN-2023 12:00AM,31-DEC-2023 12:00AM,,1,7,3,3,
2023,CA,CA826873,Keller Beach (Contra Costa Co) - Keller South Beach,ALAMEDA,Pacific Ocean,Still Water,Y,1,N,.056,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,6,08-FEB-2023 12:00AM,09-AUG-2023 12:00AM,,2,2,,1,1
2023,CA,CA228730,Clam Beach Co. Park - Clam Beach Co. Park,HUMBOLDT,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,3.796,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,9,18-JUL-2023 12:00AM,31-DEC-2023 12:00AM,,1,2,3,2,1
2023,CA,CA296453,Luffenholtz Beach - Luffenholtz Creek,HUMBOLDT,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.572,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,7,10-MAY-2023 12:00AM,31-OCT-2023 12:00AM,,1,1,3,2,
2023,CA,CA400656,Moonstone Beach - Moonstone Beach,HUMBOLDT,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.754,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,9,07-JUN-2023 12:00AM,26-OCT-2023 12:00AM,,3,3,2,1,
2023,CA,CA665589,Trinidad State Beach - Mill Creek/Trinidad,HUMBOLDT,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.444,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,11,04-APR-2023 12:00AM,02-NOV-2023 12:00AM,,2,6,3,,
2023,CA,CA133077,Alamitos Bay Beach - B-31,LOS ANGELES,Pacific Ocean,Still Water,Y,1,N,1.27,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,4,24-AUG-2023 12:00AM,28-DEC-2023 12:00AM,,3,,1,,
2023,CA,CA474271,Avalon Beach - DPH 120,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.5,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,27-JUN-2023 12:00AM,11-JUL-2023 12:00AM,,,1,1,,
2023,CA,CA542331,Bluff Cove - SMB-7-2,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.39,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,1,03-JUL-2023 12:00AM,21-AUG-2023 12:00AM,,,,,,1
2023,CA,CA456614,Carbon Beach - SMB-1-13,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,Y,1.5,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,06-JUN-2023 12:00AM,13-JUL-2023 12:00AM,,,1,1,,
2023,CA,CA699607,Colorado Lagoon - B-25,LOS ANGELES,Pacific Ocean,Still Water,Y,1,N,1.08,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,8,14-FEB-2023 12:00AM,30-DEC-2023 12:00AM,,7,,1,,
2023,CA,CA435852,Dan Blocker County Beach - SMB-1-10,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,.4,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,6,25-APR-2023 12:00AM,11-JUL-2023 12:00AM,,,4,1,1,
2023,CA,CA719054,Dockweiler State Beach - SMB-2-11,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,4.43,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,3,07-FEB-2023 12:00AM,10-SEP-2023 12:00AM,,,1,2,,
2023,CA,CA331294,Escondido Beach - SMB-1-8,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,1.31,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,4,09-MAY-2023 12:00AM,15-JUN-2023 12:00AM,,,2,1,1,
2023,CA,CA674364,Inner Cabrillo Beach - CB-02,LOS ANGELES,Pacific Ocean,Still Water,Y,1,N,.21,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,17,08-FEB-2023 12:00AM,10-JUL-2023 12:00AM,,6,3,5,2,1
2023,CA,CA892930,La Costa Beach - SMB-1-14,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,Y,.8,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,6,09-MAY-2023 12:00AM,27-JUN-2023 12:00AM,,,3,3,,
2023,CA,CA936162,Las Tunas County Beach - SMB-1-16,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,Y,.17,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,4,07-MAR-2023 12:00AM,14-JUN-2023 12:00AM,,,1,1,2,
2023,CA,CA415021,Leo Carillo State Beach - DPH 010B,LOS ANGELES,Pacific Ocean,"Sound, Bay, or Inlet",Y,1,N,1.15,N,Public,Public,365,0,01-01-2023,12-31-2023,1 per-week,1 per-year,1 per-year,2,09-MAY-2023 12:00AM,19-MAY-2023 12:00AM,,,1,1,,
